# GOES17_ABI RSR
# QV 2025-06-04 from ABI-16-045_FM2_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# TIR bands
# GOES17_ABI Band CH390
# -------------------
3.874617 0.982121
3.874768 0.982438
3.874918 0.98276
3.875068 0.983088
3.875218 0.983426
3.875368 0.983768
3.875518 0.984106
3.875669 0.984438
3.875819 0.984758
3.875969 0.985066
3.876119 0.985364
3.876269 0.985672
3.87642 0.985978
3.87657 0.98627
3.87672 0.986535
3.876871 0.986762
3.877021 0.986938
3.877171 0.987086
3.877322 0.98722
3.877472 0.987336
3.877622 0.987429
3.877773 0.987494
3.877923 0.987538
3.878073 0.987547
3.878224 0.987545
3.878374 0.987542
3.878525 0.987531
3.878675 0.987494
3.878825 0.987438
3.878976 0.987375
3.879126 0.987294
3.879277 0.987172
3.879427 0.98703
3.879578 0.986887
3.879728 0.986764
3.879879 0.986681
3.880029 0.98666
3.88018 0.986731
3.880331 0.986888
3.880481 0.987108
3.880632 0.987369
3.880782 0.98765
3.880933 0.987929
3.881084 0.988202
3.881234 0.988522
3.881385 0.988884
3.881536 0.989274
3.881686 0.989683
3.881837 0.9901
3.881988 0.99052
3.882138 0.990939
3.882289 0.991369
3.88244 0.991816
3.88259 0.992276
3.882741 0.992741
3.882892 0.993204
3.883043 0.993658
3.883194 0.994112
3.883344 0.994568
3.883495 0.995021
3.883646 0.995466
3.883797 0.9959
3.883948 0.996318
3.884099 0.996714
3.884249 0.997085
3.8844 0.997442
3.884551 0.997783
3.884702 0.998114
3.884853 0.998433
3.885004 0.99873
3.885155 0.999023
3.885306 0.999312
3.885457 0.999563
3.885608 0.999744
3.885759 0.999881
3.88591 0.99998
3.886061 1.0
3.886212 0.999999
3.886363 0.999997
3.886514 0.999993
3.886665 0.999988
3.886816 0.999982
3.886967 0.999973
3.887118 0.999948
3.887269 0.9999
3.88742 0.999836
3.887571 0.999761
3.887723 0.999681
3.887874 0.9996
3.888025 0.99952
3.888176 0.999422
3.888327 0.99931
3.888478 0.999193
3.88863 0.999078
3.888781 0.998974
3.888932 0.998887
3.889083 0.998826
3.889235 0.998775
3.889386 0.99873
3.889537 0.998688
3.889688 0.998648
3.88984 0.998606
3.889991 0.99856
3.890142 0.99851
3.890294 0.99846
3.890445 0.99841
