# GOES18_ABI RSR
# QV 2025-06-04 from ABI-16-046_FM3_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# VSWIR bands
# GOES18_ABI Band CH047
# -------------------
0.460532 0.833888
0.460554 0.834517
0.460575 0.835136
0.460596 0.835747
0.460617 0.836349
0.460638 0.836945
0.46066 0.837533
0.460681 0.838116
0.460702 0.838693
0.460723 0.839265
0.460745 0.839834
0.460766 0.840398
0.460787 0.84096
0.460808 0.84152
0.460829 0.842078
0.460851 0.842635
0.460872 0.843192
0.460893 0.84375
0.460914 0.844308
0.460936 0.844868
0.460957 0.845431
0.460978 0.845996
0.460999 0.846565
0.461021 0.847135
0.461042 0.8477
0.461063 0.848261
0.461084 0.848818
0.461106 0.849372
0.461127 0.849923
0.461148 0.850471
0.46117 0.851016
0.461191 0.851559
0.461212 0.8521
0.461233 0.85264
0.461255 0.853179
0.461276 0.853716
0.461297 0.854253
0.461318 0.854789
0.46134 0.855324
0.461361 0.855857
0.461382 0.85639
0.461404 0.856922
0.461425 0.857453
0.461446 0.857982
0.461467 0.858511
0.461489 0.859039
0.46151 0.859566
0.461531 0.860092
0.461553 0.860617
0.461574 0.861141
0.461595 0.861664
0.461617 0.862186
0.461638 0.862707
0.461659 0.863228
0.461681 0.863747
0.461702 0.864266
0.461723 0.864783
0.461744 0.8653
0.461766 0.865816
0.461787 0.866331
0.461808 0.866846
0.46183 0.867359
0.461851 0.867872
0.461872 0.868383
0.461894 0.868894
0.461915 0.869404
0.461936 0.869913
0.461958 0.870422
0.461979 0.87093
0.462 0.871436
0.462022 0.871939
0.462043 0.872435
0.462065 0.872928
0.462086 0.873423
0.462107 0.873923
0.462129 0.874435
0.46215 0.87496
0.462171 0.875499
0.462193 0.876048
0.462214 0.876608
0.462235 0.877177
0.462257 0.877755
0.462278 0.87834
0.462299 0.878931
0.462321 0.879527
0.462342 0.880128
0.462364 0.880732
0.462385 0.881337
0.462406 0.881944
0.462428 0.882551
0.462449 0.883157
0.462471 0.88376
0.462492 0.884361
0.462513 0.884957
0.462535 0.885548
0.462556 0.886133
0.462577 0.886711
0.462599 0.88728
0.46262 0.88784
0.462642 0.888389
0.462663 0.888927
0.462684 0.889452
0.462706 0.889964
0.462727 0.89046
0.462749 0.890942
0.46277 0.891406
0.462792 0.891853
0.462813 0.892281
0.462834 0.892689
0.462856 0.893075
0.462877 0.89344
0.462899 0.893782
0.46292 0.8941
0.462942 0.894392
0.462963 0.894658
0.462984 0.894897
0.463006 0.895109
0.463027 0.895312
0.463049 0.895513
0.46307 0.895712
0.463092 0.895909
0.463113 0.896104
0.463134 0.896297
0.463156 0.896488
0.463177 0.896675
0.463199 0.896861
0.46322 0.897043
0.463242 0.897222
0.463263 0.897398
0.463285 0.89757
0.463306 0.897739
0.463328 0.897905
0.463349 0.898066
0.463371 0.898224
0.463392 0.898377
0.463414 0.898526
0.463435 0.898671
0.463456 0.898811
0.463478 0.898946
0.463499 0.899076
0.463521 0.899202
0.463542 0.899322
0.463564 0.899436
0.463585 0.899546
0.463607 0.899649
0.463628 0.899747
0.46365 0.899838
0.463671 0.899924
0.463693 0.900003
0.463714 0.900076
0.463736 0.900142
0.463757 0.900201
0.463779 0.900254
0.4638 0.900299
0.463822 0.900337
0.463843 0.900368
0.463865 0.900391
0.463886 0.900406
0.463908 0.900414
0.463929 0.90042
0.463951 0.900425
0.463973 0.900429
0.463994 0.900431
0.464016 0.900423
0.464037 0.900387
0.464059 0.900322
0.46408 0.900231
0.464102 0.900115
0.464123 0.899976
0.464145 0.899815
0.464166 0.899635
0.464188 0.899436
0.464209 0.899221
0.464231 0.898992
0.464253 0.898749
0.464274 0.898494
0.464296 0.89823
0.464317 0.897958
0.464339 0.897679
0.46436 0.897396
0.464382 0.897109
0.464403 0.896821
0.464425 0.896533
0.464447 0.896247
0.464468 0.895965
0.46449 0.895688
0.464511 0.895418
0.464533 0.895157
0.464554 0.894905
0.464576 0.894666
0.464598 0.894441
0.464619 0.894231
0.464641 0.894038
0.464662 0.893864
0.464684 0.89371
0.464706 0.893578
0.464727 0.89347
0.464749 0.893388
0.46477 0.893332
0.464792 0.893306
0.464814 0.893309
0.464835 0.893339
0.464857 0.893391
0.464878 0.893461
0.4649 0.893545
0.464922 0.893639
0.464943 0.89374
0.464965 0.893842
0.464987 0.893943
0.465008 0.894037
0.46503 0.894132
0.465051 0.894227
0.465073 0.894323
0.465095 0.894421
0.465116 0.89452
0.465138 0.894621
0.46516 0.894725
0.465181 0.89483
0.465203 0.894939
0.465224 0.89505
0.465246 0.895163
0.465268 0.89528
0.465289 0.895401
0.465311 0.895525
0.465333 0.895653
0.465354 0.895785
0.465376 0.895921
0.465398 0.896062
0.465419 0.896207
0.465441 0.896357
0.465463 0.896513
0.465484 0.896674
0.465506 0.89684
0.465528 0.897012
0.465549 0.89719
0.465571 0.897375
0.465593 0.897566
0.465614 0.897763
0.465636 0.897968
0.465658 0.898179
0.465679 0.898398
0.465701 0.898625
0.465723 0.898881
0.465744 0.899181
0.465766 0.899521
0.465788 0.899897
0.46581 0.900305
0.465831 0.90074
0.465853 0.901197
0.465875 0.901674
0.465896 0.902164
0.465918 0.902665
0.46594 0.903172
0.465962 0.903679
0.465983 0.904185
0.466005 0.904683
0.466027 0.905198
0.466048 0.905736
0.46607 0.906297
0.466092 0.906877
0.466114 0.907474
