#
#  GF1/WFV4 RSR
#
#  from Rugang Tang Excel files
#
#  Tabulated QV 2019-03-05
#
# Wavelength (nm)	RSR
#
# BAND 1 Blue
704	0.0001192
705	0.00012486
706	0.00012879
707	0.0001147
708	0.00011944
709	0.00014524
710	0.00011877
711	0.00012252
712	0.00013112
713	0.00012449
714	0.00013657
715	0.00013892
716	0.00014186
717	0.00015141
718	0.00015312
719	0.00016073
720	0.00014787
721	0.00015551
722	0.00016879
723	0.00016909
724	0.00020793
725	0.00018012
726	0.00019083
727	0.00019242
728	0.00023571
729	0.00023172
730	0.00026065
731	0.00024755
732	0.00023283
733	0.00022884
734	0.00026545
735	0.000239
736	0.00022994
737	0.00021394
738	0.00022931
739	0.00023885
740	0.00028943
741	0.00027639
742	0.00031024
743	0.00029561
744	0.00027333
745	0.00032307
746	0.00034492
747	0.00035438
748	0.00037991
749	0.00031078
750	0.00036723
751	0.00033344
752	0.00037904
753	0.00040859
754	0.00049303
755	0.00040207
756	0.00043565
757	0.00053904
758	0.0004327
759	0.00056074
760	0.00045941
761	0.00041026
762	0.00044032
763	0.00053308
764	0.00050563
765	0.00052338
766	0.00048909
767	0.00048493
768	0.00053872
769	0.00059743
770	0.00057717
771	0.0004119
772	0.00044546
773	0.00044711
774	0.00074154
775	0.00062898
776	0.00039476
777	0.00053456
778	0.00055165
779	0.00079718
780	0.00058482
781	0.00072089
782	0.00066496
783	0.00071551
784	0.00072025
785	0.00074756
786	0.0007777
787	0.00079357
788	0.00072759
789	0.00085007
790	0.00069527
791	0.0010472
792	0.00091168
793	0.0013201
794	0.0010714
795	0.0010522
796	0.0011597
797	0.0013033
798	0.0012132
799	0.0011872
800	0.0012011
801	0.0010613
802	0.001509
803	0.0012697
804	0.0012274
805	0.0013591
806	0.0014037
807	0.0014787
808	0.001298
809	0.0012764
810	0.0011613
811	0.0015047
812	0.0013671
813	0.0012682
814	0.00094893
815	0.0014477
816	0.0011054
817	0.001254
818	0.0015967
819	0.0019285
820	0.0020342
821	0.0026445
822	0.0026014
823	0.003158
824	0.0033095
825	0.0028543
826	0.0032118
827	0.0025677
828	0.0026049
829	0.0024707
830	0.0020548
831	0.0023207
832	0.0019914
833	0.0020557
834	0.0019033
835	0.0021631
836	0.0023237
837	0.0027114
838	0.0027588
839	0.0019248
840	0.0028242
841	0.0029006
842	0.0027923
843	0.0029601
844	0.003312
845	0.0033634
846	0.0035882
847	0.0035395
848	0.0037452
849	0.0040419
850	0.0037528
851	0.0043082
852	0.0041714
853	0.0041419
854	0.0040315
855	0.0039329
856	0.0041755
857	0.0035944
858	0.0034
859	0.0033926
860	0.0033421
861	0.0031138
862	0.0030777
863	0.0032544
864	0.0030065
865	0.0030777
866	0.0031024
867	0.0029034
868	0.0031831
869	0.0030832
870	0.0030304
871	0.0025302
872	0.0027994
873	0.0027585
874	0.0026885
875	0.0024879
876	0.0026325
877	0.002516
878	0.0028701
879	0.0028123
880	0.0024535
881	0.0027012
882	0.0018767
883	0.0024285
884	0.0027293
885	0.002613
886	0.0021909
887	0.0026373
888	0.0021991
889	0.0024213
890	0.001917
891	0.0019923
892	0.0019713
893	0.0017042
894	0.0017521
895	0.0015892
896	0.0014772
897	0.001303
898	0.0012973
899	0.0011024
900	0.0012349
901	0.0014612
902	0.0013727
903	0.0012398
904	0.0011504
905	0.0011757
906	0.0012951
907	0.0014284
908	0.0013485
909	0.0011279
910	0.00097345
911	0.0011572
912	0.0010419
913	0.0013491
914	0.0010393
915	0.0013269
916	0.0012774
917	0.0013611
918	0.0010668
919	0.0014051
920	0.00090956
921	0.0012584
922	0.0014377
923	0.0011758
924	0.0013638
925	0.0014706
926	0.001631
927	0.0010323
928	0.0013461
929	0.001419
930	0.0013826
931	0.0015508
932	0.0012613
933	0.0013289
934	0.001515
935	0.0016333
936	0.0015649
937	0.001291
938	0.0016654
939	0.0014039
940	0.0019774
941	0.0016574
942	0.0016865
943	0.0016641
944	0.0019352
945	0.0019001
946	0.0018802
947	0.0019266
948	0.0019316
949	0.0023202
950	0.0021335
951	0.0023292
952	0.0023516
953	0.002481
954	0.002635
955	0.002413
956	0.002568
957	0.0026178
958	0.0023867
959	0.0025826
960	0.0026317
961	0.002603
962	0.0026343
963	0.0026089
964	0.0025635
965	0.0024096
966	0.0025914
967	0.0022292
968	0.0020821
969	0.0018
970	0.0018373
971	0.0016434
972	0.0016766
973	0.0015564
974	0.0013183
975	0.0012917
976	0.0013623
977	0.0011104
978	0.0013251
979	0.0012095
980	0.00085935
981	0.00099009
982	0.00093691
983	0.00080153
984	0.00088703
985	0.00076521
986	0.00064911
987	0.00068448
988	0.00071664
989	0.00078179
990	0.0008191
991	0.00080654
992	0.00067147
993	0.00062941
994	0.00069825
995	0.00066021
996	0.00056755
997	0.00075714
998	0.00064742
999	0.00073123
1000	0.00067985
1001	0.00066834
1002	0.00057652
1003	0.0005955
1004	0.00061205
1005	0.00056966
1006	0.00058949
1007	0.00061762
1008	0.00072656
1009	0.00071454
1010	0.0006715
1011	0.00080639
1012	0.00077424
1013	0.00075885
1014	0.0006836
1015	0.00069534
1016	0.00061664
1017	0.00075164
1018	0.00090994
1019	0.00071892
1020	0.00080213
1021	0.00087978
1022	0.00088288
1023	0.00085513
1024	0.00092867
1025	0.0010853
1026	0.0012496
1027	0.0013548
1028	0.0014153
1029	0.0013231
1030	0.001632
1031	0.0017622
1032	0.0016503
1033	0.0019445
1034	0.0022768
1035	0.0022694
1036	0.0026221
1037	0.0026169
1038	0.0027252
1039	0.0028438
1040	0.0032065
#
# BAND 3 Red
400	0.0013747
401	0.0011676
402	0.0012272
403	0.0013855
404	0.0014648
405	0.0011793
406	0.0011594
407	0.0012219
408	0.0012194
409	0.001352
410	0.001365
411	0.0014003
412	0.0012682
413	0.0013794
414	0.001391
415	0.0013976
416	0.0013568
417	0.0012996
418	0.0013128
419	0.0014015
420	0.0014719
421	0.0013251
422	0.0014077
423	0.001366
424	0.0012697
425	0.0013175
426	0.0013139
427	0.0013391
428	0.0014649
429	0.0013358
430	0.0012453
431	0.001292
432	0.0013141
433	0.0012921
434	0.0012383
435	0.0011865
436	0.0011764
437	0.0011702
438	0.0010791
439	0.0011702
440	0.001082
441	0.0010467
442	0.00087329
443	0.001004
444	0.00090655
445	0.0010085
446	0.0010201
447	0.0009382
448	0.00097598
449	0.00090932
450	0.00099444
451	0.00092565
452	0.00071541
453	0.0008959
454	0.00083111
455	0.00085394
456	0.00077069
457	0.00088309
458	0.00073825
459	0.00087772
460	0.00090153
461	0.00078708
462	0.00078519
463	0.00070756
464	0.00062854
465	0.00072457
466	0.00067467
467	0.0006912
468	0.00064371
469	0.00063645
470	0.00064109
471	0.00062559
472	0.00069461
473	0.00060431
474	0.00068673
475	0.00057605
476	0.00059427
477	0.00061462
478	0.00063842
479	0.00057872
480	0.00053689
481	0.00051877
482	0.00056736
483	0.00054372
484	0.00054719
485	0.00052586
486	0.00052023
487	0.00052792
488	0.00051156
489	0.00044998
490	0.00048109
491	0.0004751
492	0.00046661
493	0.00050558
494	0.00048733
495	0.00048418
496	0.00046416
497	0.0004261
498	0.00043368
499	0.00041665
500	0.00042936
501	0.00040974
502	0.00043598
503	0.00040944
504	0.00041435
505	0.0004259
506	0.00036666
507	0.00041461
508	0.00034775
509	0.00036365
510	0.00038382
511	0.00039181
512	0.00033542
513	0.00037109
514	0.00036399
515	0.00035966
516	0.00041341
517	0.00036772
518	0.00039107
519	0.00037158
520	0.00037833
521	0.00034954
522	0.00041126
523	0.00040603
524	0.00039246
525	0.00042726
526	0.00040217
527	0.00035483
528	0.00035021
529	0.00038811
530	0.00035615
531	0.00036132
532	0.00038115
533	0.00040371
534	0.00036626
535	0.00038121
536	0.00033741
537	0.00037411
538	0.00033587
539	0.00032562
540	0.00035951
541	0.00033816
542	0.00035882
543	0.00035333
544	0.00038219
545	0.00034358
546	0.0003739
547	0.00034494
548	0.00036279
549	0.00038015
550	0.00033632
551	0.00038955
552	0.00037147
553	0.00033378
