% Combined data for Waterradiance	pure water absorption, salinity and temperature coefficient	related uncertainties		
% see relevant ATBD for more details!
% R. Rˆttgers, HZG
%Wavelength 	a (m-1), 20degreeC, 0 PSU	PsiS (m-1 PSU-1)	PsiT (m-1 degreeC-1)	sigma a (m-1)	sigmaPsiS  (m-1 PSU-1)	sigmaPsiT (m-1 degreeC-1)
858	4.83175	-0.000196536	0.002537	0.144953	0.000141	0.000112
860	4.940083	-9.20082E-05	0.001514	0.148203	0.000148	0.000034
862	5.02465	-0.000283935	0.00049	0.15074	0.000223	0.000123
864	5.109217	-0.00036265	-0.000494	0.153277	0.000216	0.000059
866	5.19415	-0.000454796	-0.001399	0.155825	0.000232	0.000068
868	5.27945	-0.0005527	-0.002107	0.158384	0.000223	0.000102
870	5.36475	-0.000658278	-0.002954	0.160943	0.000219	0.000118
872	5.458325	-0.000779208	-0.003642	0.16375	0.000189	0.00009
874	5.560175	-0.000905893	-0.004312	0.166805	0.000188	0.000059
876	5.656875	-0.001044092	-0.004882	0.169706	0.000196	0.000123
878	5.748425	-0.001186128	-0.005394	0.172453	0.000209	0.000102
880	5.830383	-0.001333921	-0.005689	0.174912	0.000221	0.00009
882	5.90275	-0.001475957	-0.006004	0.177083	0.000237	0.000034
884	5.975117	-0.001614156	-0.00626	0.179254	0.000227	0.000059
886	6.064075	-0.001744679	-0.006299	0.181922	0.000206	0.000034
888	6.169625	-0.001875201	-0.006319	0.185089	0.000189	0.000118
890	6.26645	-0.002007643	-0.006142	0.187994	0.000175	0.000034
892	6.35455	-0.002132409	-0.005906	0.190637	0.000182	0.000034
894	6.44265	-0.002241824	-0.005512	0.19328	0.000187	0.000068
896	6.54784	-0.002347401	-0.00502	0.196435	0.000208	0.000068
898	6.67012	-0.002443384	-0.004469	0.200104	0.000225	0.000034
900	6.7924	-0.002506747	-0.003682	0.203772	0.000819	0.000102
902	6.9101	-0.002581622	-0.002678	0.207303	0.000828	0.000149
904	7.0278	-0.002633471	-0.001458	0.210834	0.000789	0.00009
906	7.1455	-0.002704509	-0.000002	0.214365	0.00081	0.000118
908	7.5081	-0.002762114	0.00175	0.225243	0.000813	0.000123
910	7.8707	-0.002825476	0.003816	0.236121	0.000872	0.000136
912	8.53795	-0.002908025	0.006217	0.256139	0.000818	0.000136
914	9.2052	-0.002988655	0.008953	0.276156	0.000777	0.000156
916	9.916133	-0.003080796	0.012062	0.297484	0.000862	0.000149
918	10.627067	-0.003186365	0.016136	0.318812	0.000843	0.000177
920	11.338	-0.003313034	0.020958	0.34014	0.000831	0.000402
922	12.5648	-0.003456975	0.025986	0.376944	0.000806	0.001021
924	13.7916	-0.003627786	0.037096	0.413748	0.000784	0.000685
926	15.43	-0.003812029	0.044968	0.4629	0.000833	0.001181
928	17.48	-0.003988593	0.054415	0.5244	0.000801	0.001229
930	19.386167	-0.003825662	0.064648	0.581585	0.001816	0.001486
932	21.1485	-0.004454052	0.07626	0.634455	0.001866	0.001229
934	22.910833	-0.004642934	0.085706	0.687325	0.00187	0.000902
936	24.8346	-0.004559713	0.097121	0.745038	0.001852	0.000902
938	26.9198	-0.004978878	0.108339	0.807594	0.001873	0.001229
940	29.005	-0.005021248	0.118966	0.87015	0.001833	0.000902
942	31.52	-0.005503196	0.130577	0.9456	0.00181	0.001229
944	34.035	-0.006027001	0.143173	1.02105	0.00187	0.000902
946	35.384714	-0.006801992	0.158327	1.061541	0.001807	0.001229
948	36.734429	-0.007995632	0.178204	1.102033	0.001617	0.000902
950	38.084143	-0.009838183	0.202017	1.142524	0.001684	0.001181
952	39.56325	-0.012015653	0.228979	1.186898	0.001597	0.001486
954	41.17175	-0.013481402	0.256532	1.235153	0.001566	0.001181
956	42.478	-0.013900509	0.279558	1.27434	0.001624	0.001229
958	43.482	-0.012393799	0.294318	1.30446	0.001615	0.001229
960	44.137286	-0.00937993	0.299632	1.324119	0.001635	0.001229
962	44.443857	-0.006449787	0.295892	1.333316	0.001638	0.001229
964	44.750429	-0.003247512	0.286839	1.342513	0.001632	0.000902
966	45.057	-0.000903469	0.274244	1.35171	0.001604	0.001023
968	45.1722	0.000917267	0.257909	1.355166	0.001695	0.001229
970	45.2874	0.002319358	0.242165	1.358622	0.001594	0.001023
972	45.22175	0.003260937	0.226027	1.356653	0.001605	0.001363
974	44.97525	0.003888531	0.207331	1.349258	0.00161	0.001023
976	44.6518	0.004411469	0.188044	1.339554	0.001641	0.000902
978	44.2514	0.004369232	0.168167	1.327542	0.001648	0.001229
980	43.851	0.004640996	0.147109	1.31553	0.001666	0.001023
982	43.227	0.004598778	0.125657	1.29681	0.001666	0.000902
984	42.603	0.004179746	0.104796	1.27809	0.00165	0.001023
986	42.218714	0.00403269	0.083541	1.266561	0.00164	0.000902
988	41.834429	0.003090397	0.064452	1.255033	0.001648	0.001229
990	41.450143	0.002692393	0.045165	1.243504	0.001662	0.000902
992	40.82525	0.001603621	0.02824	1.224758	0.001666	0.001704
994	39.95975	0.000912579	0.011511	1.198793	0.001631	0.00059
996	39.1614	-0.000113378	-0.003642	1.174842	0.001652	0.001229
998	38.4302	-0.00124399	-0.016828	1.152906	0.001669	0.001181
1000	37.699	-0.001997804	-0.016828	1.13097	0.001678	0.000341
1002	36.760778	-0.003233064	-0.030014	1.102823	0.001682	0.001898
1004	35.822556	-0.004627293	-0.041035	1.074677	0.001715	0.001229
1006	34.884333	-0.00536337	-0.050285	1.04653	0.001646	0.00059
1008	33.946111	-0.006195299	-0.059338	1.018383	0.001717	0.001229
1010	33.099583	-0.006896746	-0.066226	0.992987	0.001692	0.001181
1012	32.34475	-0.007774897	-0.07272	0.970343	0.001668	0.001023
1014	31.589917	-0.008328413	-0.078034	0.947697	0.00174	0.001181
1016	30.835083	-0.00884346	-0.08197	0.925052	0.001693	0.001229
1018	30.08025	-0.009509655	-0.085709	0.902408	0.001781	0.001562
1020	29.325417	-0.009864382	-0.087678	0.879762	0.001717	0.000902
1022	28.444111	-0.010128397	-0.089646	0.853323	0.001788	0.000341
1024	27.436333	-0.010478667	-0.089842	0.82309	0.001733	0.001562
1026	26.428556	-0.010774419	-0.090236	0.792857	0.001754	0.000902
1028	25.420778	-0.010867205	-0.090039	0.762623	0.001744	0.000902
1030	24.413	-0.010928327	-0.089055	0.73239	0.001696	0.000902
1032	23.6144	-0.010953073	-0.088071	0.708432	0.001721	0.001181
1034	22.8158	-0.010848208	-0.085709	0.684474	0.001714	0.001181
1036	22.0172	-0.010712725	-0.083938	0.660516	0.001704	0.001181
1038	21.2186	-0.010589362	-0.08138	0.636558	0.0017	0.000902
1040	20.42	-0.010359324	-0.078821	0.6126	0.001734	0.000682
1042	19.7326	-0.010166174	-0.076657	0.591978	0.001725	0.000902
1044	19.0452	-0.00985588	-0.07272	0.571356	0.001694	0.001181
1046	18.3578	-0.009579768	-0.070949	0.550734	0.001788	0.001181
1048	17.6704	-0.009184595	-0.067604	0.530112	0.001713	0.000682
1050	16.983	-0.008754265	-0.064258	0.50949	0.001749	0.000902
1052	16.634333	-0.008490381	-0.062093	0.49903	0.002602	0.001181
1054	16.285667	-0.007632138	-0.058747	0.48857	0.002555	0.000682
1056	15.937	-0.00782052	-0.055992	0.47811	0.002493	0.000902
1058	15.588333	-0.007359974	-0.054221	0.46765	0.002621	0.000902
1060	15.3526	-0.006878483	-0.051859	0.460578	0.002597	0.000902
1062	15.2298	-0.006376048	-0.04871	0.456894	0.002535	0.000682
1064	15.107	-0.006250393	-0.046349	0.45321	0.002623	0.000902
1066	14.9842	-0.006020066	-0.044578	0.449526	0.002495	0.000682
1068	14.8614	-0.005831595	-0.042413	0.445842	0.002584	0.000902
1070	14.8678	-0.005412857	-0.040642	0.446034	0.002658	0.000902
1072	15.0034	-0.005538366	-0.038673	0.450102	0.002627	0.000682
1074	15.139	-0.005496408	-0.036705	0.45417	0.002588	0.00059
1076	15.2746	-0.005454444	-0.034541	0.458238	0.002546	0.000341
1078	15.4102	-0.005642734	-0.033557	0.462306	0.002545	0.000682
1080	15.6599	-0.00541236	-0.031392	0.469797	0.002547	0.00059
1082	16.0237	-0.005475034	-0.02903	0.480711	0.0026	0.00059
1084	16.3875	-0.005516765	-0.027062	0.491625	0.002571	0.000682
1086	16.7513	-0.005600351	-0.024897	0.502539	0.002624	0.00059
1088	17.1151	-0.005872321	-0.021945	0.513453	0.00263	0.00059
1090	17.5203	-0.005893086	-0.019387	0.525609	0.002686	0.000341
